title,abstract
Layer Normalization,"Training state-of-the-art, deep neural networks is computationally expensive. One way to reduce the training time is to normalize the activities of the neurons. A recently introduced technique called batch normalization uses the distribution of the summed input to a neuron over a mini-batch of training cases to compute a mean and variance which are then used to normalize the summed input to that neuron on each training case. This significantly reduces the training time in feed-forward neural networks. However, the effect of batch normalization is dependent on the mini-batch size and it is not obvious how to apply it to recurrent neural networks. In this paper, we transpose batch normalization into layer normalization by computing the mean and variance used for normalization from all of the summed inputs to the neurons in a layer on a single training case. Like batch normalization, we also give each neuron its own adaptive bias and gain which are applied after the normalization but before the non-linearity. Unlike batch normalization, layer normalization performs exactly the same computation at training and test times. It is also straightforward to apply to recurrent neural networks by computing the normalization statistics separately at each time step. Layer normalization is very effective at stabilizing the hidden state dynamics in recurrent networks. Empirically, we show that layer normalization can substantially reduce the training time compared with previously published techniques."
Guided Cost Learning: Deep Inverse Optimal Control via Policy Optimization,"Reinforcement learning can acquire complex behaviors from high-level specifications. However, defining a cost function that can be optimized effectively and encodes the correct task is challenging in practice. We explore how inverse optimal control (IOC) can be used to learn behaviors from demonstrations, with applications to torque control of high-dimensional robotic systems. Our method addresses two key challenges in inverse optimal control: first, the need for informative features and effective regularization to impose structure on the cost, and second, the difficulty of learning the cost function under unknown dynamics for high-dimensional continuous systems. To address the former challenge, we present an algorithm capable of learning arbitrary nonlinear cost functions, such as neural networks, without meticulous feature engineering. To address the latter challenge, we formulate an efficient sample-based approximation for MaxEnt IOC. We evaluate our method on a series of simulated tasks and real-world robotic manipulation problems, demonstrating substantial improvement over prior methods both in terms of task complexity and sample efficiency."
Variational Information Maximizing Exploration,"Scalable and effective exploration remains a key challenge in reinforcement learning (RL). While there are methods with optimality guarantees in the setting of discrete state and action spaces, these methods cannot be applied in high-dimensional deep RL scenarios. As such, most contemporary RL relies on simple heuristics such as -greedy exploration or adding Gaussian noise to the controls. This paper introduces Variational Information Maximizing Exploration (VIME), an exploration strategy based on maximization of information gain about the agent’s belief of environment dynamics. We propose a practical implementation, using variational inference in Bayesian neural networks which efficiently handles continuous state and action spaces. VIME modifies the MDP reward function, and can be applied with several different underlying RL algorithms. We demonstrate that VIME achieves significantly better performance compared to heuristic exploration methods across a variety of continuous control tasks and algorithms, including tasks with very sparse rewards."
Blockout: Dynamic Model Selection for Hierarchical Deep Networks,"Most deep architectures for image classification--even those that are trained to classify a large number of diverse categories--learn shared image representations with a single model. Intuitively, however, categories that are more similar should share more information than those that are very different. While hierarchical deep networks address this problem by learning separate features for subsets of related categories, current implementations require simplified models using fixed architectures specified via heuristic clustering methods. Instead, we propose Blockout, a method for regularization and model selection that simultaneously learns both the model architecture and parameters. A generalization of Dropout, our approach gives a novel parametrization of hierarchical architectures that allows for structure learning via back-propagation. To demonstrate its utility, we evaluate Blockout on the CIFAR and ImageNet datasets, demonstrating improved classification accuracy, better regularization performance, faster training, and the clear emergence of hierarchical network structures."
Progressive Neural Networks,"Learning to solve complex sequences of tasks--while both leveraging transfer and avoiding catastrophic forgetting--remains a key obstacle to achieving human-level intelligence. The progressive networks approach represents a step forward in this direction: they are immune to forgetting and can leverage prior knowledge via lateral connections to previously learned features. We evaluate this architecture extensively on a wide variety of reinforcement learning tasks (Atari and 3D maze games), and show that it outperforms common baselines based on pretraining and finetuning. Using a novel sensitivity measure, we demonstrate that transfer occurs at both low-level sensory and high-level control layers of the learned policy."
 Towards Conceptual Compression,"We introduce a simple recurrent variational autoencoder
architecture that significantly improves
image modeling. The system represents the stateof-the-art
in latent variable models for both the
ImageNet and Omniglot datasets. We show that
it naturally separates global conceptual information
from lower level details, thus addressing one
of the fundamentally desired properties of unsupervised
learning. Furthermore, the possibility of
restricting ourselves to storing only global information
about an image allows us to achieve high
quality ‘conceptual compression’."
"Bridging the Gaps Between Residual Learning, Recurrent Neural Networks and Visual Cortex","We discuss relations between Residual Networks (ResNet), Recurrent Neural Networks (RNNs) and
the primate visual cortex. We begin with the observation that a shallow RNN is exactly equivalent to a very deep
ResNet with weight sharing among the layers. A direct implementation of such a RNN, although having orders
of magnitude fewer parameters, leads to a performance similar to the corresponding ResNet. We propose 1) a
generalization of both RNN and ResNet architectures and 2) the conjecture that a class of moderately deep RNNs
is a biologically-plausible model of the ventral stream in visual cortex. We demonstrate the effectiveness of the
architectures by testing them on the CIFAR-10 dataset."
3D-R2N2: A Unified Approach for Single and Multi-view 3D Object Reconstruction,"Inspired by the recent success of methods that employ shape
priors to achieve robust 3D reconstructions, we propose a novel recurrent
neural network architecture that we call the 3D Recurrent Reconstruction
Neural Network (3D-R2N2). The network learns a mapping from
images of objects to their underlying 3D shapes from a large collection
of synthetic data [1]. Our network takes in one or more images of an object
instance from arbitrary viewpoints and outputs a reconstruction of
the object in the form of a 3D occupancy grid. Unlike most of the previous
works, our network does not require any image annotations or object
class labels for training or testing. Our extensive experimental analysis
shows that our reconstruction framework i) outperforms the state-of-theart
methods for single view reconstruction, and ii) enables the 3D reconstruction
of objects in situations when traditional SFM/SLAM methods
fail (because of lack of texture and/or wide baseline)."
Adversarial Feature Learning,"The ability of the Generative Adversarial Networks (GANs) framework to learn
generative models mapping from simple latent distributions to arbitrarily complex
data distributions has been demonstrated empirically, with compelling results
showing generators learn to “linearize semantics” in the latent space of such
models. Intuitively, such latent spaces may serve as useful feature representations
for auxiliary problems where semantics are relevant. However, in their existing
form, GANs have no means of learning the inverse mapping – projecting data
back into the latent space. We propose Bidirectional Generative Adversarial
Networks (BiGANs) as a means of learning this inverse mapping, and demonstrate
that the resulting learned feature representation is useful for auxiliary supervised
discrimination tasks, competitive with contemporary approaches to unsupervised
and self-supervised feature learning."
Adversarially Learned Inference,"We introduce the adversarially learned inference (ALI) model, which jointly learns
a generation network and an inference network using an adversarial process. The
generation network maps samples from stochastic latent variables to the data space
while the inference network maps training examples in data space to the space of
latent variables. An adversarial game is cast between these two networks and a
discriminative network that is trained to distinguish between joint latent/data-space
samples from the generative network and joint samples from the inference network.
We illustrate the ability of the model to learn mutually coherent inference and generation
networks through the inspections of model samples and reconstructions and
confirm the usefulness of the learned representations by obtaining a performance
competitive with other recent approaches on the semi-supervised SVHN task."
A Neural Knowledge Language Model,"Communicating knowledge is a primary purpose of language. However, current
language models have significant limitations in their ability to encode or decode
knowledge. This is mainly because they acquire knowledge based on statistical
co-occurrences, even if most of the knowledge words are rarely observed named
entities. In this paper, we propose a Neural Knowledge Language Model (NKLM)
which combines symbolic knowledge provided by knowledge graphs with RNN
language models. At each time step, the model predicts a fact on which the observed
word is supposed to be based. Then, a word is either generated from the vocabulary
or copied from the knowledge graph. We train and test the model on a new dataset,
WikiFacts. In experiments, we show that the NKLM significantly improves the
perplexity while generating a much smaller number of unknown words. In addition,
we demonstrate that the sampled descriptions include named entities which were
used to be the unknown words in RNN language models."
Residual Networks of Residual Networks: Multilevel Residual Networks,"Residual networks family with hundreds or even thousands of layers dominate major image recognition tasks, but building a network by simply stacking residual blocks inevitably limits its optimization ability. This paper proposes a novel residual-network architecture, Residual networks of Residual networks (RoR), to dig the optimization ability of residual networks. RoR substitutes optimizing residual mapping of residual mapping for optimizing original residual mapping, in particular, adding level-wise shortcut connections upon original residual networks, to promote the learning capability of residual networks. More importantly, RoR can be applied to various kinds of residual networks (Pre-ResNets and WRN) and significantly boost their performance. Our experiments demonstrate the effectiveness and versatility of RoR, where it achieves the best performance in all residual-network-like structures. Our RoR-3-WRN58-4 models achieve new state-of-the-art results on CIFAR-10, CIFAR-100 and SVHN, with test errors 3.77%, 19.73% and 1.59% respectively. These results outperform 1001-layer Pre-ResNets by 18.4% on CIFAR-10 and 13.1% on CIFAR-100."
Local Binary Convolutional Neural Networks,"We propose local binary convolution (LBC), an efficient alternative to convolutional
layers in standard convolutional neural networks (CNN). The design principles of
LBC are motivated by local binary patterns (LBP). The LBC layer comprises of
a set of fixed sparse pre-defined binary convolutional filters that are not updated
during the training process, a non-linear activation function and a set of learnable
linear weights. The linear weights combine the activated filter responses to approximate
the corresponding activated filter responses of a standard convolutional layer.
The LBC layer affords significant parameter savings, 9× to 169× in the number
of learnable parameters compared to a standard convolutional layer. Furthermore,
due to lower model complexity and sparse and binary nature of the weights also
results in up to 9× to 169× savings in model size compared to a standard convolutional
layer. We demonstrate both theoretically and experimentally that our local
binary convolution layer is a good approximation of a standard convolutional layer.
Empirically, CNNs with LBC layers, called local binary convolutional neural
networks (LBCNN), reach state-of-the-art performance on a range of visual datasets
(MNIST, SVHN, CIFAR-10, and a subset of ImageNet) while enjoying significant
computational savings."
f-GAN: Training Generative Neural Samplers using Variational Divergence Minimization,"Generative neural samplers are probabilistic models that implement sampling using
feedforward neural networks: they take a random input vector and produce a sample
from a probability distribution defined by the network weights. These models
are expressive and allow efficient computation of samples and derivatives, but
cannot be used for computing likelihoods or for marginalization. The generative adversarial
training method allows to train such models through the use of an
auxiliary discriminative neural network. We show that the generative-adversarial
approach is a special case of an existing more general variational divergence
estimation approach. We show that any f-divergence can be used for training
generative neural samplers. We discuss the benefits of various choices of divergence
functions on training complexity and the quality of the obtained generative models."
Learning Continuous Control Policies by Stochastic Value Gradients,"We present a unified framework for learning continuous control policies using
backpropagation. It supports stochastic control by treating stochasticity in the
Bellman equation as a deterministic function of exogenous noise. The product
is a spectrum of general policy gradient algorithms that range from model-free
methods with value functions to model-based methods without value functions.
We use learned models but only require observations from the environment instead
of observations from model-predicted trajectories, minimizing the impact
of compounded model errors. We apply these algorithms first to a toy stochastic
control problem and then to several physics-based control problems in simulation.
One of these variants, SVG(1), shows the effectiveness of learning models, value
functions, and policies simultaneously in continuous domains."
End to end active perception,"Recent advances in machine learning have dramatically improved the accuracy of object recognition in static images. However, humans and animals are rarely confronted with images that are completely static, and typically perform a variety of interventions to aid in object recognition, from changes in viewpoint to active manipulation, such as turning an object around to see it from all sides or removing occluders. Such active perception is particularly important in robotics, where correct object classification is often crucial, and active interventions are available to aid in recognition. In this paper, we present a method that can learn such active interventions, and evaluate our method on a simulated environment that we call ``Occluded MNIST,'' which requires the agent to push distractor objects out of the way to perform successful recognition. We evaluate a variety of solutions based on reinforcement learning and demonstrate that active intervention substantially improves recognition accuracy over a passive baseline."
Deep Kalman Filters,"Kalman Filters are one of the most influential models of time-varying phenomena. They admit an intuitive probabilistic interpretation, have a simple functional form, and enjoy widespread adoption in a variety of disciplines. Motivated by recent variational methods for learning deep generative models, we introduce a unified algorithm to efficiently learn a broad spectrum of Kalman filters. Of particular interest is the use of temporal generative models for counterfactual inference. We investigate the efficacy of such models for counterfactual inference, and to that end we introduce the ""Healing MNIST"" dataset where long-term structure, noise and actions are applied to sequences of digits. We show the efficacy of our method for modeling this dataset. We further show how our model can be used for counterfactual inference for patients, based on electronic health record data of 8,000 patients over 4.5 years.
"
Learning Multiagent Communication with Backpropagation,"Many tasks in AI require the collaboration of multiple agents. Typically, the communication protocol between agents is manually specified and not altered during training. In this paper we explore a simple neural model, called CommNN, that uses continuous communication for fully cooperative tasks. The model consists of multiple agents and the communication between them is learned alongside their policy. We apply this model to a diverse set of tasks, demonstrating the ability of the agents to learn to communicate amongst themselves, yielding improved performance over non-communicative agents and baselines. In some cases, it is possible to interpret the language devised by the agents, revealing simple but effective strategies for solving the task at hand.
"
MuFuRU: The Multi-Function Recurrent Unit,"Recurrent neural networks such as the GRU and LSTM found wide adoption in natural language processing and achieve state-of-the-art results for many tasks. These models are characterized by a memory state that can be written to and read from by applying gated composition operations to the current input and the previous state. However, they only cover a small subset of potentially useful compositions. We propose Multi-Function Recurrent Units (MuFuRUs) that allow for arbitrary differentiable functions as composition operations. Furthermore, MuFuRUs allow for an input- and state-dependent choice of these composition operations that is learned. Our experiments demonstrate that the additional functionality helps in different sequence modeling tasks, including the evaluation of propositional logic formulae, language modeling and sentiment analysis.
"
Sequence-to-Sequence Learning as Beam-Search Optimization,"Sequence-to-Sequence (seq2seq) modeling has rapidly become an important general-purpose NLP tool that has proven effective for many text-generation and sequence-labeling tasks. Seq2seq builds on deep neural language modeling and inherits its remarkable accuracy in estimating local, next-word distributions. In this work, we introduce a model and beam-search training scheme, based on the work of Daume III and Marcu (2005), that extends seq2seq to learn global sequence scores. This structured approach avoids classical biases associated with local training and unifies the training loss with the test-time usage, while preserving the proven model architecture of seq2seq and its efficient training approach. We show that our system outperforms a highly-optimized attention-based seq2seq system and other baselines on three different sequence to sequence tasks: word ordering, parsing, and machine translation.
"
Stochastic Variance Reduction for Nonconvex Optimization,"We study nonconvex finite-sum problems and analyze stochastic variance reduced gradient (SVRG) methods for them. SVRG and related methods have recently surged into prominence for convex optimization given their edge over stochastic gradient descent (SGD); but their theoretical analysis almost exclusively assumes convexity. In contrast, we prove non-asymptotic rates of convergence (to stationary points) of SVRG for nonconvex optimization, and show that it is provably faster than SGD and gradient descent. We also analyze a subclass of nonconvex problems on which SVRG attains linear convergence to the global optimum. We extend our analysis to mini-batch variants of SVRG, showing (theoretical) linear speedup due to mini-batching in parallel settings."
End-to-End Kernel Learning with Supervised Convolutional Kernel Networks,"In this paper, we propose a new image representation based on a multilayer kernel machine that performs end-to-end learning. Unlike traditional kernel methods, where the kernel is handcrafted or adapted to data in an unsupervised manner, we learn how to shape the kernel for a supervised prediction problem. We proceed by generalizing convolutional kernel networks, which originally provide unsupervised image representations, and we derive backpropagation rules to optimize model parameters. As a result, we obtain a new type of convolutional neural network with the following properties: (i) at each layer, learning filters is equivalent to optimizing a linear subspace in a reproducing kernel Hilbert space (RKHS), where we project data, (ii) the network may be learned with supervision or without, (iii) the model comes with a natural regularization function (the norm in the RKHS). We show that our method achieves reasonably competitive performance on some standard ""deep learning"" image classification datasets such as CIFAR-10 and SVHN, and also state-of-the-art results for image super-resolution, demonstrating the applicability of our approach to a large variety of image-related tasks."
Neural Semantic Encoders,"We present a memory augmented neural network for natural language understanding:
Neural Semantic Encoders (NSE). NSE has a variable sized encoding memory
that evolves over time and maintains the understanding of input sequences through
read, compose and write operations. NSE can access1 multiple and shared memories
depending on the complexity of a task. We demonstrated the effectiveness
and the flexibility of NSE on five different natural language tasks, natural language
inference, question answering, sentence classification, document sentiment analysis
and machine translation where NSE achieved state-of-the-art performance when
evaluated on publically available benchmarks. For example, our shared-memory
model showed an encouraging result on neural machine translation, improving an
attention-based baseline by approximately 1.0 BLEU."
Synthesizing the preferred inputs for neurons in neural networks via deep generator networks,"Deep neural networks (DNNs) have demonstrated state-of-the-art results on many
pattern recognition tasks, especially vision classification problems. Understanding
the inner workings of such computational brains is both fascinating basic science
that is interesting in its own right—similar to why we study the human brain—and
will enable researchers to further improve DNNs. One path to understanding
how a neural network functions internally is to study what each of its neurons
has learned to detect. One such method is called activation maximization (AM),
which synthesizes an input (e.g. an image) that highly activates a neuron. Here
we dramatically improve the qualitative state of the art of activation maximization
by harnessing a powerful, learned prior: a deep generator network (DGN). The
algorithm (1) generates qualitatively state-of-the-art synthetic images that look
almost real, (2) reveals the features learned by each neuron in an interpretable
way, (3) generalizes well to new datasets and somewhat well to different network
architectures without requiring the prior to be relearned, and (4) can be considered
as a high-quality generative method (in this case, by generating novel, creative,
interesting, recognizable images)."
SE3-Nets: Learning Rigid Body Motion using Deep Neural Networks,"We introduce SE3-Nets which are deep networks
designed to model rigid body motion from raw point cloud data.
Based only on pairs of depth images along with an action vector
and point wise data associations, SE3-Nets learn to segment
effected object parts and predict their motion resulting from
the applied force. Rather than learning point wise flow vectors,
SE3-Nets predict SE3 transformations for different parts of the
scene. Using simulated depth data of a table top scene and a
robot manipulator, we show that the structure underlying SE3-
Nets enables them to generate a far more consistent prediction
of object motion than traditional flow based networks."
End to End Learning for Self-Driving Cars,"We trained a convolutional neural network (CNN) to map raw pixels from a single
front-facing camera directly to steering commands. This end-to-end approach
proved surprisingly powerful. With minimum training data from humans the system
learns to drive in traffic on local roads with or without lane markings and on
highways. It also operates in areas with unclear visual guidance such as in parking
lots and on unpaved roads.
The system automatically learns internal representations of the necessary processing
steps such as detecting useful road features with only the human steering angle
as the training signal. We never explicitly trained it to detect, for example, the outline
of roads.
Compared to explicit decomposition of the problem, such as lane marking detection,
path planning, and control, our end-to-end system optimizes all processing
steps simultaneously. We argue that this will eventually lead to better performance
and smaller systems. Better performance will result because the internal
components self-optimize to maximize overall system performance, instead of optimizing
human-selected intermediate criteria, e. g., lane detection. Such criteria
understandably are selected for ease of human interpretation which doesn’t automatically
guarantee maximum system performance. Smaller networks are possible
because the system learns to solve the problem with the minimal number of
processing steps.
We used an NVIDIA DevBox and Torch 7 for training and an NVIDIA
DRIVETM PX self-driving car computer also running Torch 7 for determining
where to drive. The system operates at 30 frames per second (FPS)."
Gated-Attention Readers for Text Comprehension,"In this paper we study the problem of answering cloze-style questions over short documents. We introduce a new attention mechanism which uses multiplicative interactions between the query embedding and intermediate states of a recurrent neural network reader. This enables the reader to build query-specific representations of tokens in the document which are further used for answer selection. Our model, the Gated-Attention Reader, outperforms all state-of-the-art models on several large-scale benchmark datasets for this task---the CNN \& Dailymail news stories and Children's Book Test. We also provide a detailed analysis of the performance of our model and several baselines over a subset of questions manually annotated with certain linguistic features. The analysis sheds light on the strengths and weaknesses of several existing models."
One-shot Learning with Memory-Augmented Neural Networks,"Despite recent breakthroughs in the applications of deep neural networks, one setting that presents a persistent challenge is that of ""one-shot learning."" Traditional gradient-based networks require a lot of data to learn, often through extensive iterative training. When new data is encountered, the models must inefficiently relearn their parameters to adequately incorporate the new information without catastrophic interference. Architectures with augmented memory capacities, such as Neural Turing Machines (NTMs), offer the ability to quickly encode and retrieve new information, and hence can potentially obviate the downsides of conventional models. Here, we demonstrate the ability of a memory-augmented neural network to rapidly assimilate new data, and leverage this data to make accurate predictions after only a few samples. We also introduce a new method for accessing an external memory that focuses on memory content, unlike previous methods that additionally use memory location-based focusing mechanisms."
Hierarchical Memory Networks,"Memory networks are neural networks with an explicit memory component that can be both read and written to by the network. The memory is often addressed in a soft way using a softmax function, making end-to-end training with backpropagation possible. However, this is not computationally scalable for applications which require the network to read from extremely large memories. On the other hand, it is well known that hard attention mechanisms based on reinforcement learning are challenging to train successfully. In this paper, we explore a form of hierarchical memory network, which can be considered as a hybrid between hard and soft attention memory networks. The memory is organized in a hierarchical structure such that reading from it is done with less computation than soft attention over a flat memory, while also being easier to train than hard attention over a flat memory. Specifically, we propose to incorporate Maximum Inner Product Search (MIPS) in the training and inference procedures for our hierarchical memory network. We explore the use of various state-of-the art approximate MIPS techniques and report results on SimpleQuestions, a challenging large scale factoid question answering task."
Play and Learn: Using Video Games to Train Computer Vision Models,"Video games are a compelling source of annotated data as they can readily provide fine-grained groundtruth for diverse tasks. However, it is not clear whether the synthetically generated data has enough resemblance to the real-world images to improve the performance of computer vision models in practice. We present experiments assessing the effectiveness on real-world data of systems trained on synthetic RGB images that are extracted from a video game. We collected over 60000 synthetic samples from a modern video game with similar conditions to the real-world CamVid and Cityscapes datasets. We provide several experiments to demonstrate that the synthetically generated RGB images can be used to improve the performance of deep neural networks on both image segmentation and depth estimation. These results show that a convolutional network trained on synthetic data achieves a similar test error to a network that is trained on real-world data for dense image classification. Furthermore, the synthetically generated RGB images can provide similar or better results compared to the real-world datasets if a simple domain adaptation technique is applied. Our results suggest that collaboration with game developers for an accessible interface to gather data is potentially a fruitful direction for future work in computer vision."
TerpreT: A Probabilistic Programming Language for Program Induction,"We study machine learning formulations of inductive program synthesis; given input-output examples, we try to synthesize source code that maps inputs to corresponding outputs. Our aims are to develop new machine learning approaches based on neural networks and graphical models, and to understand the capabilities of machine learning techniques relative to traditional alternatives, such as those based on constraint solving from the programming languages community. 
Our key contribution is the proposal of TerpreT, a domain-specific language for expressing program synthesis problems. TerpreT is similar to a probabilistic programming language: a model is composed of a specification of a program representation (declarations of random variables) and an interpreter describing how programs map inputs to outputs (a model connecting unknowns to observations). The inference task is to observe a set of input-output examples and infer the underlying program. TerpreT has two main benefits. First, it enables rapid exploration of a range of domains, program representations, and interpreter models. Second, it separates the model specification from the inference algorithm, allowing like-to-like comparisons between different approaches to inference. From a single TerpreT specification we automatically perform inference using four different back-ends. These are based on gradient descent, linear program (LP) relaxations for graphical models, discrete satisfiability solving, and the Sketch program synthesis system. 
We illustrate the value of TerpreT by developing several interpreter models and performing an empirical comparison between alternative inference algorithms. Our key empirical finding is that constraint solvers dominate the gradient descent and LP-based formulations. We conclude with suggestions for the machine learning community to make progress on program synthesis."
